"SpawnBio","Recruit_0","retainB_1","retainN_1","retainB_2","retainN_2","retainB_3","retainN_3","deadB_1","deadN_1","deadB_2","deadN_2","deadB_3","deadN_3","F_1","F_2","F_3","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
NA,1678380,2247.31,21032.5,0,0,0,0,2247.31,21032.5,0,0,0,0,0.359348,0,0,0,0.527856,0.527856,1987,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
53582.7,0,0,0,3639.76,25846.4,0,0,0,0,3639.76,25846.4,0,0,0,0.333156,0,0,0.527856,0.527856,1987,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,2045130,2179.91,19769.3,0,0,0,0,2179.91,19769.3,0,0,0,0,0.181048,0,0,0,-0.238323,-0.238323,1988,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
78637.5,0,0,0,2614.75,19298.2,0,0,0,0,2614.75,19298.2,0,0,0,0.12564,0,0,-0.238323,-0.238323,1988,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,1315370,7290.44,58671,0,0,0,0,7290.44,58671,0,0,0,0,0.388888,0,0,0,-0.241935,-0.241935,1989,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
134307,0,0,0,8031.52,60463.1,0,0,0,0,8031.52,60463.1,0,0,0,0.41662,0,0,-0.241935,-0.241935,1989,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,1986460,6158.42,45405.4,0,0,0,0,6158.42,45405.4,0,0,0,0,0.236295,0,0,0,0.909323,0.909323,1990,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
121311,0,0,0,14443.5,108186,0,0,0,0,14443.5,108186,0,0,0,0.687161,0,0,0.909323,0.909323,1990,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,5826840,24698,160919,0,0,0,0,24698,160919,0,0,0,0,1.12773,0,0,0,0.652911,0.652911,1991,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
99619,0,0,0,10323.5,80009,0,0,0,0,10323.5,80009,0,0,0,0.706271,0,0,0.652911,0.652911,1991,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,3877360,43769.2,344279,0,0,3.89973,20.2439,43769.2,344279,0,0,3.89973,20.2439,3.99961,0,0.047702,0,1.558,1.558,1992,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
102996,0,0,0,30857.9,391245,0.179996,0.934272,0,0,30857.9,391245,0.179996,0.934272,0,3.70162,0.0030027,0,1.558,1.558,1992,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,9838120,822.8,9929.31,0,0,0,0,822.8,9929.31,0,0,0,0,0.0177567,0,0,0,2.03517,2.03517,1993,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
167357,0,0,0,11345.8,154156,0,0,0,0,11345.8,154156,0,0,0,0.155762,0,0,2.03517,2.03517,1993,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,22618500,8838.69,100661,0,0,0,0,8838.69,100661,0,0,0,0,0.116137,0,0,0,1.11881,1.11881,1994,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
266872,0,0,0,39748.4,605560,0,0,0,0,39748.4,605560,0,0,0,0.308653,0,0,1.11881,1.11881,1994,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,12136900,5993.28,65072.3,0,0,22.68,119.698,5993.28,65072.3,0,0,22.68,119.698,0.0961805,0,0.22287,0,0.776758,0.776758,1995,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
553976,0,0,0,26565.7,393086,0,0,0,0,26565.7,393086,0,0,0,0.164973,0,0,0.776758,0.776758,1995,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,12275300,11917.3,121922,0,0,0,0,11917.3,121922,0,0,0,0,0.0809166,0,0,0,1.17217,1.17217,1996,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
799956,0,0,0,19158.7,239398,43.54,231.691,0,0,19158.7,239398,43.54,231.691,0,0.104256,0.631173,0,1.17217,1.17217,1996,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,20741900,13018.2,172989,0,0,27.22,146.518,13018.2,172989,0,0,27.22,146.518,0.152805,0,0.22985,0,1.16828,1.16828,1997,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
864301,0,0,0,24527.6,318029,0.82,4.40536,0,0,24527.6,318029,0.82,4.40536,0,0.112389,0.00967611,0,1.16828,1.16828,1997,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,21150200,18925.2,283339,0,0,488.25,2687.57,18925.2,283339,0,0,488.25,2687.57,0.212921,0,2.90758,0,-0.377071,-0.377071,1998,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
898362,0,0,0,63278.4,923145,74.3899,410.64,0,0,63278.4,923145,74.3899,410.64,0,0.27518,0.748313,0,-0.377071,-0.377071,1998,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,4560870,14996.2,223326,0,0,725.2,5379.85,14996.2,223326,0,0,725.2,5379.85,1.95917,0,0.00281558,0,-0.545145,-0.545145,1999,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
1043900,0,0,0,58341.4,887380,429.589,2942.37,0,0,58341.4,887380,429.589,2942.37,0,0.799184,0.00205096,0,-0.545145,-0.545145,1999,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,4015480,23809.5,287761,0,0,15585.6,116673,23809.5,287761,0,0,15585.6,116673,3.72865,0,0.0519846,0,0.0098429,0.0098429,2000,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
1004250,0,0,0,35179.3,497282,2336.9,15848.3,0,0,35179.3,497282,2336.9,15848.3,0,1.1479,0.00961148,0,0.0098429,0.0098429,2000,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,6924520,11550.5,133128,0,0,22546,153800,11550.5,133128,0,0,22546,153800,2.32231,0,0.0691834,0,-1.36898,-1.36898,2001,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
770852,0,0,0,41118.5,702688,3136.84,19553,0,0,41118.5,702688,3136.84,19553,0,1.25265,0.0120875,0,-1.36898,-1.36898,2001,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,1615030,16322.9,223494,0,0,35531.5,217001,16322.9,223494,0,0,35531.5,217001,4.00002,0,0.142272,0,1.84975,1.84975,2002,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
592378,0,0,0,36130.6,476811,597.289,3452.91,0,0,36130.6,476811,597.289,3452.91,0,1.3401,0.00316347,0,1.84975,1.84975,2002,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,36835300,10340.6,186733,0,0,37242.3,249273,10340.6,186733,0,0,37242.3,249273,2.3867,0,0.183522,0,1.56541,1.56541,2003,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
419139,0,0,0,21300.5,383711,2618.44,16500.2,0,0,21300.5,383711,2618.44,16500.2,0,0.221935,0.0171147,0,1.56541,1.56541,2003,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,23972200,17049,363999,0,0,46730.8,353412,17049,363999,0,0,46730.8,353412,0.8259,0,0.321021,0,1.43706,1.43706,2004,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
504355,0,0,0,25249.9,441269,1016.32,7989.43,0,0,25249.9,441269,1016.32,7989.43,0,0.0857445,0.00871988,0,1.43706,1.43706,2004,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,22870700,13803,242662,0,0,54152.6,470497,13803,242662,0,0,54152.6,470497,0.397453,0,0.50866,0,0.294861,0.294861,2005,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
750567,0,0,0,30364.2,605513,101.7,841.003,0,0,30364.2,605513,101.7,841.003,0,0.361496,0.00124592,0,0.294861,0.294861,2005,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,8453820,20726.2,370919,0,0,41221,396744,20726.2,370919,0,0,41221,396744,0.668299,0,0.178632,0,0.113904,0.113904,2006,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
881944,0,0,0,39900.3,712025,0,0,0,0,39900.3,712025,0,0,0,0.601006,0,0,0.113904,0.113904,2006,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,7412550,46228.2,694607,0,0,48237.1,395699,46228.2,694607,0,0,48237.1,395699,2.93088,0,0.282986,0,-0.663912,-0.663912,2007,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
835062,0,0,0,42910.1,783643,0,0,0,0,42910.1,783643,0,0,0,0.994812,0,0,-0.663912,-0.663912,2007,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,3350830,30036.8,450096,0,0,39804.9,323572,30036.8,450096,0,0,39804.9,323572,4.00003,0,0.206411,0,-0.0934002,-0.0934002,2008,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
677818,0,0,0,41198.6,654737,0,0,0,0,41198.6,654737,0,0,0,1.36914,0,0,-0.0934002,-0.0934002,2008,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,5540830,14044.9,186254,0,0,44841.2,344749,14044.9,186254,0,0,44841.2,344749,0.20518,0,0.314119,0,0.144479,0.144479,2009,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
477283,0,0,0,31146.5,598612,1369.73,10040.8,0,0,31146.5,598612,1369.73,10040.8,0,1.34864,0.0132267,0,0.144479,0.144479,2009,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,6134450,11274,179722,0,0,54085.9,393459,11274,179722,0,0,54085.9,393459,0.250422,0,0.512032,0,-2.19827,-2.19827,2010,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
345603,0,0,0,27267.6,474150,0.0900002,0.619871,0,0,27267.6,474150,0.0900002,0.619871,0,0.614509,1.22312e-06,0,-2.19827,-2.19827,2010,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,506318,24871.4,293871,0,0,39750.5,295581,24871.4,293871,0,0,39750.5,295581,0.504811,0,0.393072,0,-3.7439,-3.7439,2011,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
346689,0,0,0,23189.9,252962,5805.63,39953.4,0,0,23189.9,252962,5805.63,39953.4,0,1.96421,0.0834165,0,-3.7439,-3.7439,2011,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,108109,1528.37,13243.6,0,0,91425.8,667004,1528.37,13243.6,0,0,91425.8,667004,0.0255233,0,1.37821,0,-2.96915,-2.96915,2012,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
217744,0,0,0,13884.9,108601,1570.78,10618.9,0,0,13884.9,108601,1570.78,10618.9,0,1.53421,0.0401874,0,-2.96915,-2.96915,2012,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,180219,921.558,6565.45,0,0,57217.8,370460,921.558,6565.45,0,0,57217.8,370460,2.1698,0,1.46781,0,-1.27642,-1.27642,2013,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
95964.5,0,0,0,5625.03,38918,908.01,5490.34,0,0,5625.03,38918,908.01,5490.34,0,0.374295,0.0397606,0,-1.27642,-1.27642,2013,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,546857,1840.33,12881.3,0,0,15215.7,88458.3,1840.33,12881.3,0,0,15215.7,88458.3,3.9999,0,0.619591,0,-0.374774,-0.374774,2014,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
45110.8,0,0,0,727.709,7519.94,2193.87,12310.8,0,0,727.709,7519.94,2193.87,12310.8,0,0.13095,0.141907,0,-0.374774,-0.374774,2014,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,712778,6.13,33.771,0,0,66.2799,354.319,6.13,33.771,0,0,66.2799,354.319,0.000607028,0,0.0796532,0,-1.04841,-1.04841,2015,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
40038.1,0,0,0,185.82,1216.61,1.29,6.8414,0,0,185.82,1216.61,1.29,6.8414,0,0.0242854,0.00210003,0,-1.04841,-1.04841,2015,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,326635,283.54,1583.9,0,0,173.15,910.325,283.54,1583.9,0,0,173.15,910.325,0.0662678,0,0.289084,0,-0.720818,-0.720818,2016,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
60118.2,0,0,0,7080.53,49630.6,0.0499998,0.260075,0,0,7080.53,49630.6,0.0499998,0.260075,0,0.934102,0.000118592,0,-0.720818,-0.720818,2016,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,648044,170.41,1021.43,0,0,1.17,6.01166,170.41,1021.43,0,0,1.17,6.01166,0.0827779,0,0.00264796,0,-1.2114,-1.2114,2017,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
56373.6,0,0,0,6229.43,37037.2,2.22,11.255,0,0,6229.43,37037.2,2.22,11.255,0,0.570949,0.00666876,0,-1.2114,-1.2114,2017,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,412264,35.3099,197.518,0,0,7.86002,39.739,35.3099,197.518,0,0,7.86002,39.739,0.0116842,0,0.0152599,0,0.0245693,0.0245693,2018,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
46199,0,0,0,11819.4,73477.9,2.51,12.6906,0,0,11819.4,73477.9,2.51,12.6906,0,1.40557,0.00656341,0,0.0245693,0.0245693,2018,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,1733540,130.86,732.8,0,0,7.73001,38.8538,130.86,732.8,0,0,7.73001,38.8538,0.0420628,0,0.0104624,0,0,0,2019,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
43144.5,0,0,0,11819.4,84659.4,2.51,12.6163,0,0,11819.4,84659.4,2.51,12.6163,0,1.84445,0.00457344,0,0,0,2019,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,1591590,0.0700339,0.406265,0,0,0.00707106,0.0356246,0.0700339,0.406265,0,0,0.00707106,0.0356246,3.17849e-05,0,1.29057e-05,0,-0.220427,-0.220427,2020,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
61061.9,0,0,0,7.9511,61.6119,0.00231974,0.011687,0,0,7.9511,61.6119,0.00231974,0.011687,0,0.000832586,5.67244e-06,0,-0.220427,-0.220427,2020,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,1730100,114.464,732.998,0,0,4.6957,23.6195,114.464,732.998,0,0,4.6957,23.6195,0.0343478,0,0.0143001,0,-0.0517599,-0.0517599,2021,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
95824,0,0,0,12450.1,96637,1.52798,7.68557,0,0,12450.1,96637,1.52798,7.68557,0,0.72066,0.00627097,0,-0.0517599,-0.0517599,2021,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,2968870,13.9936,89.4143,0,0,0.327892,1.68265,13.9936,89.4143,0,0,0.327892,1.68265,0.00274615,0,0.00160446,0,-0.158692,-0.158692,2022,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
113820,0,0,0,1535.71,11229.6,0.107523,0.55173,0,0,1535.71,11229.6,0.107523,0.55173,0,0.0569488,0.000705284,0,-0.158692,-0.158692,2022,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,3048490,907.61,5642.52,0,0,12.913,67.2541,907.61,5642.52,0,0,12.913,67.2541,0.0914736,0,0.0800919,0,-2.11242,-2.11242,2023,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
159677,0,0,0,77931.5,613005,4.08579,21.2795,0,0,77931.5,613005,4.08579,21.2795,0,4,0.0349467,0,-2.11242,-2.11242,2023,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,552733,872.444,5482.36,0,0,12.8565,67.2705,872.444,5482.36,0,0,12.8565,67.2705,0.15248,0,0.0872785,0,0.36492,0.36492,2024,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
150444,0,0,0,73580,607430,4.06719,21.2809,0,0,73580,607430,4.06719,21.2809,0,4,0.0382831,0,0.36492,0.36492,2024,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,6314270,704.383,4981.93,0,0,11.3067,59.2711,704.383,4981.93,0,0,11.3067,59.2711,0.242746,0,0.104753,0.512361,-2.76258,-2.76258,2025,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
100805,0,0,0,61863.4,466773,3.59301,18.8334,0,0,61863.4,466773,3.59301,18.8334,0,4,0.0463156,0.512361,-2.76258,-2.76258,2025,"0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
NA,0,5.77999,49.0949,0,0,0,0,5.77999,49.0949,0,0,0,0,0.0737343,0,0,0.224156,1.88371,1.88371,1981,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
532.814,0,0,0,57.1499,455.496,0,0,0,0,57.1499,455.496,0,0,0,0.708016,0,0.224156,1.88371,1.88371,1981,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,113337,73.9399,587.303,0,0,0,0,73.9399,587.303,0,0,0,0,0.578353,0,0,0.510378,1.716,1.716,1982,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
1475.43,0,0,0,415.651,3769.17,0,0,0,0,415.651,3769.17,0,0,0,3.99973,0,0.510378,1.716,1.716,1982,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,249920,213.19,2842.09,0,0,0,0,213.19,2842.09,0,0,0,0,0.113351,0,0,0.192548,1.40244,1.40244,1983,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
4185.29,0,0,0,159.12,1344.95,0,0,0,0,159.12,1344.95,0,0,0,0.425736,0,0.192548,1.40244,1.40244,1983,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,486036,75.39,901.524,0,0,0,0,75.39,901.524,0,0,0,0,0.0150702,0,0,0.402308,0.341084,0.341084,1984,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
12283,0,0,0,3492.84,26297.7,0,0,0,0,3492.84,26297.7,0,0,0,4.00001,0,0.402308,0.341084,0.341084,1984,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,457520,819.43,7731.37,0,0,0,0,819.43,7731.37,0,0,0,0,0.142285,0,0,0.169425,0.686284,0.686284,1985,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
24225.5,0,0,0,1019,7032.49,0,0,0,0,1019,7032.49,0,0,0,0.4472,0,0.169425,0.686284,0.686284,1985,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,1227560,387.71,3265.92,0,0,0,0,387.71,3265.92,0,0,0,0,0.0379347,0,0,0.129791,1.13878,1.13878,1986,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
34547.6,0,0,0,2278.89,14411.4,0,0,0,0,2278.89,14411.4,0,0,0,0.42193,0,0.129791,1.13878,1.13878,1986,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,2692930,2247.31,23645.2,0,0,0,0,2247.31,23645.2,0,0,0,0,0.674607,0,0,0.209208,0.772953,0.772953,1987,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
64571.5,0,0,0,3639.76,26072.3,0,0,0,0,3639.76,26072.3,0,0,0,0.248847,0,0.209208,0.772953,0.772953,1987,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,3284920,2179.91,22823,0,0,0,0,2179.91,22823,0,0,0,0,0.305858,0,0,0.112613,-0.438963,-0.438963,1988,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
107585,0,0,0,2614.75,20827.3,0,0,0,0,2614.75,20827.3,0,0,0,0.0940016,0,0.112613,-0.438963,-0.438963,1988,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,1501840,7290.44,47683.8,0,0,0,0,7290.44,47683.8,0,0,0,0,0.51027,0,0,0.184428,-0.332693,-0.332693,1989,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
191078,0,0,0,8031.52,67405.1,0,0,0,0,8031.52,67405.1,0,0,0,0.227421,0,0.184428,-0.332693,-0.332693,1989,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,2576200,6158.41,42790.2,0,0,0,0,6158.41,42790.2,0,0,0,0,0.213311,0,0,0.178225,0.546639,0.546639,1990,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
186730,0,0,0,14443.5,108844,0,0,0,0,14443.5,108844,0,0,0,0.375208,0,0.178225,0.546639,0.546639,1990,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,6107430,24698,151328,0,0,0,0,24698,151328,0,0,0,0,1.06135,0,0,0.286975,0.445543,0.445543,1991,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
158796,0,0,0,10323.5,85108.3,0,0,0,0,10323.5,85108.3,0,0,0,0.235466,0,0.286975,0.445543,0.445543,1991,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,4912040,43433.3,274942,0,0,3.89996,19.2806,43433.3,274942,0,0,3.89996,19.2806,2.65713,0,0.383739,0.502489,0.832363,0.832363,1992,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
167146,0,0,0,30776.4,343592,0.179998,0.889878,0,0,30776.4,343592,0.179998,0.889878,0,0.884326,0.0246119,0.502489,0.832363,0.832363,1992,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,7508180,822.8,10131.3,0,0,0,0,822.8,10131.3,0,0,0,0,0.0186432,0,0,0.0804472,1.49038,1.49038,1993,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
227600,0,0,0,11345.8,156511,0,0,0,0,11345.8,156511,0,0,0,0.114987,0,0.0804472,1.49038,1.49038,1993,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,17963700,8838.65,103765,0,0,0,0,8838.65,103765,0,0,0,0,0.117149,0,0,0.218949,0.9893,0.9893,1994,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
293965,0,0,0,39748.4,630579,0,0,0,0,39748.4,630579,0,0,0,0.302524,0,0.218949,0.9893,0.9893,1994,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,12792500,5993.28,61237.9,0,0,22.68,113.4,5993.28,61237.9,0,0,22.68,113.4,0.0970774,0,0.300776,0.119892,0.896156,0.896156,1995,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
488617,0,0,0,26565.7,371629,0,0,0,0,26565.7,371629,0,0,0,0.141168,0,0.119892,0.896156,0.896156,1995,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,15327200,11917.3,123312,0,0,0,0,11917.3,123312,0,0,0,0,0.11051,0,0,0.0820512,0.886358,0.886358,1996,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
695396,0,0,0,19158.7,227879,43.5399,219.507,0,0,19158.7,227879,43.5399,219.507,0,0.0662764,0.734609,0.0820512,0.886358,0.886358,1996,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,17679400,13018.2,175092,0,0,27.22,138.474,13018.2,175092,0,0,27.22,138.474,0.179372,0,0.245142,0.0862238,0.82064,0.82064,1997,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
824040,0,0,0,24527.6,292180,0.819999,4.16694,0,0,24527.6,292180,0.819999,4.16694,0,0.0612754,0.0101763,0.0862238,0.82064,0.82064,1997,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,17626700,18925.2,259184,0,0,488.366,2492.36,18925.2,259184,0,0,488.366,2492.36,0.244961,0,3.59306,0.173646,-0.443593,-0.443593,1998,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
902936,0,0,0,63278.4,782749,74.3899,380.441,0,0,63278.4,782749,74.3899,380.441,0,0.153602,1.3172,0.173646,-0.443593,-0.443593,1998,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,5135790,14996.2,199373,0,0,725.2,5595.04,14996.2,199373,0,0,725.2,5595.04,2.17742,0,0.00253818,0.161163,-0.623955,-0.623955,1999,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
992766,0,0,0,58341.4,787749,429.59,3014.93,0,0,58341.4,787749,429.59,3014.93,0,0.341981,0.00182812,0.161163,-0.623955,-0.623955,1999,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,4419980,23901.3,275815,0,0,15584.9,117601,23901.3,275815,0,0,15584.9,117601,3.76841,0,0.0500054,0.199758,-0.25048,-0.25048,2000,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
914373,0,0,0,35179.2,409189,2336.9,16037.9,0,0,35179.2,409189,2336.9,16037.9,0,0.326181,0.00929993,0.199758,-0.25048,-0.25048,2000,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
NA,6255600,11550.5,138880,0,0,22546,155268,11550.5,138880,0,0,22546,155268,2.02883,0,0.0767465,0.295474,-1.59236,-1.59236,2001,"cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
